layer,change_type,field_name,source_field,reason
all,removed,bbox,bbox,Redundant — GeoParquet provides native spatial indexing via Parquet metadata
all,transformed,geometry,geometry,WKB binary blob replaced with GeoParquet-standard Shapely Point geometry (EPSG:4326)
all,added,lifeline_id,,UUID5(hifld/{layer}/{id_field}) — stable deterministic row identifier for cross-layer joins
all,added,fema_id,,UUID from FEMA Community Lifeline taxonomy (geocube authoritative ID)
all,added,lifeline_component,,FEMA lifeline component label (e.g. "Energy" / "Communications")
all,added,lifeline_subcomponent,,FEMA lifeline subcomponent label (e.g. "Fuel" / "Infrastructure")
all,added,lifeline_category,,FEMA lifeline category label (e.g. "Petroleum Refineries" / "Wireless")
all,added,display_name,,Primary human-readable name derived from layer-specific source field (see per-layer rows)
all,added,confidence_score,,1.0 when OSM-matched within 50 m; 0.85 for HIFLD-only rows
all,added,confidence_tier,,Always "HIGH" — HIFLD is an authoritative government source
all,added,source_provenance,,"hifld+osm" when matched to an OSM silver point; "hifld" otherwise
all,added,osm_lifeline_id,,UUID of the nearest matched OSM silver point within 50 m (None if no match)
lm_commercial,removed,bpd_metadata,bpd_metadata,Internal BPD catalog metadata — not user-facing; dropped before gold distribution
lm_commercial,removed,type,type,Always "Feature" from GeoJSON origin — redundant after conversion to GeoParquet
lm_commercial,removed,properties,properties,Dict column fully flattened — all keys promoted to top-level columns; original struct dropped
lm_commercial,transformed,properties.*,properties,All property dict keys (AllStruc Callsign FID LatDeg LatDir LatMin LatSec LicStatus Licensee LocAddr LocCity LocCounty LocNum LocState LonDeg LonDir LonMin LonSec Nepa QZone londec latdec) promoted to top-level columns
lm_private,removed,bpd_metadata,bpd_metadata,Internal BPD catalog metadata — not user-facing; dropped before gold distribution
lm_private,removed,type,type,Always "Feature" from GeoJSON origin — redundant after conversion to GeoParquet
lm_private,removed,properties,properties,Dict column fully flattened — all keys promoted to top-level columns; original struct dropped
