lifeline_key,osm_tags
emergency_dispatch,amenity=emergency_service
banking_services,amenity=bank
electronic_payment_processing,amenity=atm
comms_broadcast,"man_made=mast&communication:radio=yes,man_made=mast&communication:television=yes,man_made=tower&communication:radio=yes,man_made=tower&communication:television=yes"
comms_cable_wireline,"telecom=exchange,man_made=telephone_exchange"
data_centers_internet,telecom=data_center
comms_satellite,tower:type=satellite
comms_wireless,"telecom=cell_tower,man_made=tower,man_made=mast"
fuel_storage,"man_made=storage_tank,industrial=fuel,industrial=oil_storage"
fuel_distribution,amenity=fuel
offshore_oil_platforms,industrial=oil_gas
fuel_refineries,industrial=refinery
fuel_pipelines,pipeline=oil
fuel_pipelines,pipeline=gas
fuel_pipelines,pipeline=fuel
power_distribution,power=substation
power_transmission,"power=tower,power=pole"
power_generation,"power=plant,power=generator"
power_distribution,man_made=pipeline
animals_and_agriculture,landuse=farm
animals_and_agriculture,landuse=farmyard
animals_and_agriculture,landuse=farmland
animals_and_agriculture,leisure=fishing
food_distribution_programs,amenity=food_bank
food_supply_chain,industrial=food
food_commercial_distribution,shop=supermarket
food_commercial_distribution,"shop=supermarket,shop=grocery"
commercial_water_supply_chain,shop=water
hydration_temporary_missions,emergency=water_station
shelter_housing,amenity=social_centre
shelter_housing,amenity=shelter
shelter_commercial_facilities,tourism=hotel
shelter_commercial_facilities,tourism=camp_site
shelter_commercial_facilities,tourism=hostel
mortuary_services,landuse=cemetery
long_term_care,"amenity=nursing_home"
dialysis,healthcare=dialysis
emergency_medical_services,emergency=ambulance_station
mortuary_services,amenity=funeral_hall
hospitals,amenity=hospital
long_term_care,"amenity=social_facility&social_facility=group_home,amenity=social_facility&social_facility=mental_health"
pharmacies,amenity=pharmacy
veterinary_services,amenity=veterinary
medical_supply_blood,"healthcare=blood_bank,amenity=blood_bank"
critical_clinical_research,"healthcare=laboratory,amenity=laboratory&healthcare=laboratory"
medical_supply_gases,industrial=gas
medical_supply_pharma_devices,industrial=pharmaceutical
medical_supply_distribution,amenity=post_office
behavioral_health,"amenity=clinic&healthcare:speciality=psychiatry,amenity=clinic&healthcare:speciality=psychology,healthcare=psychotherapist"
public_health_labs,amenity=laboratory
public_health_human_services,amenity=clinic
flood_control,flood_prone=yes
fire_stations,amenity=fire_station
essential_government_functions,amenity=university
government_schools,amenity=school
essential_government_functions,amenity=college
police_stations,amenity=police
correctional_facilities,amenity=prison
law_enforcement,office=security
government_offices,office=government
aviation_commercial,"aeroway=aerodrome,aeroway=airport"
maritime_ports,"harbour=yes,amenity=ferry_terminal"
mass_transit_ferry,amenity=ferry_terminal
mass_transit_bus,amenity=bus_station
mass_transit_rail,railway=station
railway_freight,"railway=station,railway=yard"
roads,amenity=truck_depot
potable_water_distribution,"man_made=water_works,man_made=water_tower,man_made=pumping_station"
potable_water_distribution,man_made=water_well&access=private
potable_water_distribution,man_made=water_well
wastewater_treatment,man_made=wastewater_plant
hazmat_facilities,"amenity=waste_disposal,landuse=landfill"
hazmat_facilities,amenity=waste_disposal
